dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,5.500577,0.506950,0.000580,0.023186,0.463725,9.274507,0.000000
0.050000,5.502895,0.506950,0.002898,0.046373,0.463725,-0.000000,0.000000
0.050000,5.508112,0.506950,0.008115,0.104338,1.159313,13.911760,0.000000
0.050000,5.516807,0.506950,0.016810,0.173897,1.391176,4.637253,0.000000
0.050000,5.528980,0.506950,0.028983,0.243456,1.391176,0.000000,0.000000
0.050000,5.544631,0.506950,0.044634,0.313015,1.391176,-0.000000,0.000000
0.050000,5.563759,0.506950,0.063762,0.382573,1.391176,-0.000000,0.000000
0.050000,5.586366,0.506950,0.086369,0.452132,1.391176,0.000000,0.000000
0.050000,5.611871,0.506950,0.111874,0.510098,1.159313,-4.637253,0.000000
0.050000,5.639115,0.506950,0.139118,0.544877,0.695588,-9.274507,0.000000
0.050000,5.666812,0.506950,0.166815,0.553947,0.181398,-10.283795,0.000000
0.050000,5.693677,0.506950,0.193680,0.537308,-0.332792,-10.283795,0.000000
0.050000,5.718551,0.506950,0.218554,0.497482,-0.796517,-9.274507,0.000000
0.050000,5.740401,0.506950,0.240404,0.436993,-1.209778,-8.265219,0.000000
0.050000,5.758773,0.506950,0.258776,0.367434,-1.391176,-3.627965,0.000000
0.050000,5.773667,0.506950,0.273670,0.297875,-1.391176,-0.000000,0.000000
0.050000,5.785082,0.506950,0.285085,0.228316,-1.391176,0.000000,0.000000
0.050000,5.793020,0.506950,0.293023,0.158758,-1.391176,0.000000,0.000000
0.050000,5.797606,0.506950,0.297609,0.091722,-1.340712,1.009288,0.000000
0.050000,5.799547,0.506950,0.299550,0.038803,-1.058385,5.646542,0.000000
0.050000,5.800000,0.506950,0.300003,0.009070,-0.594659,9.274507,0.000000
0.050000,5.800000,0.506950,0.300003,0.000000,-0.181398,8.265219,0.000000
