dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.000882,-0.381950,0.000625,0.025000,0.500000,10.000000,0.000727
0.050000,0.004524,-0.381942,0.004268,0.072850,0.957008,9.140167,0.003718
0.050000,0.012684,-0.381884,0.012428,0.163203,1.807054,17.000905,0.010356
0.050000,0.027070,-0.381652,0.026815,0.287751,2.490951,13.677940,0.021843
0.050000,0.048363,-0.381010,0.048118,0.426059,2.766164,5.504278,0.038346
0.050000,0.076237,-0.379649,0.076025,0.558136,2.641548,-2.492329,0.059048
0.050000,0.110282,-0.377223,0.110157,0.682635,2.489974,-3.031475,0.082958
0.050000,0.150036,-0.373389,0.150095,0.798765,2.322597,-3.347539,0.108981
0.050000,0.195011,-0.367843,0.195411,0.906314,2.150993,-3.432090,0.135993
0.050000,0.244728,-0.360343,0.245690,1.005582,1.985360,-3.312658,0.162909
0.050000,0.298741,-0.350731,0.300551,1.097229,1.832935,-3.048491,0.188732
0.050000,0.356655,-0.338931,0.359655,1.182082,1.697050,-2.717710,0.212571
0.050000,0.418134,-0.324959,0.422702,1.260929,1.576942,-2.402162,0.233641
0.050000,0.482893,-0.308917,0.489418,1.334334,1.468097,-2.176896,0.251229
0.050000,0.550689,-0.291001,0.559542,1.402468,1.362681,-2.108327,0.264644
0.050000,0.621295,-0.271508,0.632789,1.464947,1.249579,-2.262027,0.273146
0.050000,0.694469,-0.250860,0.708820,1.520625,1.113573,-2.720120,0.275846
0.050000,0.769902,-0.229630,0.787184,1.567277,0.933043,-3.610615,0.271563
0.050000,0.847141,-0.208596,0.867236,1.601037,0.675198,-5.156886,0.258609
0.050000,0.925447,-0.188801,0.948005,1.615383,0.286920,-7.765562,0.234447
0.050000,1.003051,-0.171735,1.027463,1.589162,-0.524427,-16.226934,0.195405
0.050000,1.076933,-0.159187,1.102404,1.498811,-1.807030,-25.652062,0.136370
0.050000,1.143010,-0.152755,1.168793,1.327788,-3.420445,-32.268312,0.050062
0.050000,1.196000,-0.153014,1.221783,1.059797,-5.359831,-38.787717,6.210254
0.050000,1.230962,-0.158147,1.257120,0.706739,-7.061150,-34.026377,6.041288
0.050000,1.247697,-0.163890,1.274813,0.353854,-7.057697,0.069058,5.828192
0.050000,1.255636,-0.168961,1.284234,0.188429,-3.308508,74.983790,5.598772
0.050000,1.266219,-0.179923,1.299471,0.304728,2.325977,112.689695,5.393219
0.050000,1.281657,-0.202965,1.327207,0.554720,4.999834,53.477133,5.232080
0.050000,1.298603,-0.237641,1.365802,0.771900,4.343612,-13.124447,5.112445
0.050000,1.314303,-0.280284,1.411243,0.908825,2.738493,-32.102373,5.023804
0.050000,1.327616,-0.327235,1.460045,0.976042,1.344336,-27.883133,4.957038
0.050000,1.338359,-0.375756,1.509741,0.993923,0.357635,-19.734015,4.905695
0.050000,1.346758,-0.423962,1.558674,0.978647,-0.305526,-13.263233,4.865437
0.050000,1.353163,-0.470581,1.605730,0.941125,-0.750445,-8.898384,4.833354
0.050000,1.357939,-0.514745,1.650152,0.888444,-1.053618,-6.063447,4.807463
0.050000,1.361414,-0.555860,1.691413,0.825220,-1.264487,-4.217383,4.786386
0.050000,1.363873,-0.593505,1.729139,0.754510,-1.414185,-2.993961,4.769142
0.050000,1.365554,-0.627383,1.763058,0.678391,-1.522395,-2.164195,4.755023
0.050000,1.366655,-0.657278,1.792973,0.598303,-1.601749,-1.587082,4.743512
0.050000,1.367336,-0.683033,1.818737,0.515278,-1.660502,-1.175062,4.734222
0.050000,1.367726,-0.704533,1.840241,0.430071,-1.704142,-0.872805,4.726868
0.050000,1.367926,-0.721694,1.857403,0.343253,-1.736365,-0.644462,4.721240
0.050000,1.368013,-0.734457,1.870167,0.255269,-1.759676,-0.466222,4.717185
0.050000,1.368042,-0.742858,1.878568,0.168019,-1.744997,0.293590,4.714574
0.050000,1.368049,-0.747509,1.883218,0.093009,-1.500200,4.895936,4.713148
0.050000,1.368050,-0.749517,1.885227,0.040169,-1.056804,8.867911,4.712536
0.050000,1.368050,-0.750000,1.885710,0.009660,-0.610182,8.932454,4.712389
0.050000,1.368050,-0.750000,1.885710,0.000000,-0.193195,8.339744,4.712389
