dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.000553,0.381950,0.000625,0.025000,0.500000,10.000000,0.000048
0.050000,0.002974,0.381950,0.003045,0.048408,0.468153,-0.636947,0.000256
0.050000,0.008420,0.381953,0.008491,0.108922,1.210294,14.842827,0.000724
0.050000,0.018103,0.381964,0.018174,0.193657,1.694700,9.688129,0.001555
0.050000,0.032629,0.381996,0.032701,0.290528,1.937422,4.854428,0.002795
0.050000,0.052001,0.382066,0.052073,0.387451,1.938443,0.020416,0.004437
0.050000,0.076223,0.382198,0.076295,0.484441,1.939808,0.027312,0.006474
0.050000,0.105298,0.382421,0.105371,0.581517,1.941522,0.034282,0.008894
0.050000,0.139231,0.382771,0.139306,0.678697,1.943589,0.041338,0.011682
0.050000,0.178027,0.383285,0.178106,0.775997,1.946014,0.048486,0.014825
0.050000,0.221693,0.384009,0.221778,0.873437,1.948800,0.055731,0.018302
0.050000,0.270235,0.384989,0.270330,0.971035,1.951954,0.063071,0.022093
0.050000,0.323660,0.386280,0.323770,1.068809,1.955479,0.070501,0.026176
0.050000,0.381975,0.387934,0.382109,1.166778,1.959379,0.078009,0.030525
0.050000,0.445189,0.390010,0.445357,1.264961,1.963658,0.085579,0.035112
0.050000,0.513310,0.392567,0.513526,1.363377,1.968318,0.093191,0.039906
0.050000,0.586347,0.395666,0.586628,1.462045,1.973359,0.100823,0.044875
0.050000,0.664308,0.399368,0.664677,1.560984,1.978781,0.108449,0.049982
0.050000,0.747204,0.403733,0.747688,1.660213,1.984583,0.116043,0.055190
0.050000,0.835044,0.408819,0.835675,1.759751,1.990762,0.123578,0.060459
0.050000,0.927229,0.414645,0.928044,1.847375,1.752487,-4.765512,0.065711
0.050000,1.022546,0.421165,1.023584,1.910789,1.268271,-9.684320,0.070844
0.050000,1.119778,0.428309,1.121078,1.949884,0.781896,-9.727489,0.075768
0.050000,1.217706,0.435974,1.219305,1.964544,0.293201,-9.773896,0.080409
0.050000,1.315718,0.444088,1.317652,1.966950,0.048122,-4.901582,0.084735
0.050000,1.413815,0.452621,1.416120,1.969357,0.048143,0.000421,0.088747
0.050000,1.511999,0.461543,1.514708,1.971764,0.048150,0.000133,0.092443
0.050000,1.610270,0.470824,1.613417,1.974172,0.048145,-0.000098,0.095824
0.050000,1.708631,0.480433,1.712246,1.976578,0.048131,-0.000274,0.098890
0.050000,1.807083,0.490340,1.811195,1.978984,0.048111,-0.000401,0.101641
0.050000,1.905628,0.500515,1.910265,1.981388,0.048087,-0.000483,0.104077
0.050000,2.004270,0.510927,2.009454,1.983791,0.048061,-0.000526,0.106199
0.050000,2.103010,0.521545,2.108764,1.986193,0.048034,-0.000533,0.108006
0.050000,2.201852,0.532340,2.208193,1.988593,0.048009,-0.000509,0.109500
0.050000,2.300799,0.543280,2.307743,1.990993,0.047986,-0.000460,0.110679
0.050000,2.399854,0.554334,2.407413,1.993391,0.047966,-0.000388,0.111544
0.050000,2.499020,0.565472,2.507202,1.995789,0.047951,-0.000300,0.112095
0.050000,2.598300,0.576662,2.607111,1.998186,0.047941,-0.000200,0.112333
0.050000,2.697699,0.587874,2.707140,2.000583,0.047937,-0.000091,0.112256
0.050000,2.797220,0.599076,2.807289,2.002979,0.047938,0.000021,0.111866
0.050000,2.896865,0.610237,2.907558,2.005377,0.047944,0.000131,0.111162
0.050000,2.996640,0.621325,3.007947,2.007774,0.047956,0.000237,0.110145
0.050000,3.096546,0.632309,3.108456,2.010173,0.047973,0.000332,0.108813
0.050000,3.196589,0.643157,3.209084,2.012573,0.047994,0.000412,0.107167
0.050000,3.296770,0.653838,3.309833,2.014974,0.048017,0.000474,0.105207
0.050000,3.397092,0.664319,3.410702,2.017376,0.048043,0.000511,0.102932
0.050000,3.497560,0.674568,3.511691,2.019779,0.048069,0.000520,0.100343
0.050000,3.598175,0.684554,3.612800,2.022184,0.048094,0.000497,0.097439
0.050000,3.698940,0.694242,3.714029,2.024590,0.048115,0.000435,0.094220
0.050000,3.799856,0.703601,3.815379,2.026996,0.048132,0.000332,0.090686
0.050000,3.900927,0.712599,3.916849,2.029403,0.048141,0.000181,0.086836
0.050000,4.002152,0.721201,4.018440,2.031810,0.048140,-0.000021,0.082672
0.050000,4.103534,0.729376,4.120151,2.034217,0.048126,-0.000279,0.078193
0.050000,4.204764,0.737067,4.221672,2.030424,-0.075856,-2.479634,0.073413
0.050000,4.304894,0.744180,4.322054,2.007651,-0.455461,-7.592102,0.068386
0.050000,4.402645,0.750623,4.420017,1.959256,-0.967900,-10.248790,0.063193
0.050000,4.496728,0.756330,4.514274,1.885126,-1.482587,-10.293729,0.057930
0.050000,4.586160,0.761283,4.603843,1.791385,-1.874824,-7.844741,0.052687
