dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,5.500526,0.506950,0.000547,0.021875,0.437500,8.750000,0.000000
0.050000,5.502713,0.506950,0.002734,0.043750,0.437500,-0.000000,0.000000
0.050000,5.507635,0.506950,0.007656,0.098437,1.093750,13.125000,0.000000
0.050000,5.516385,0.506950,0.016406,0.175000,1.531250,8.750000,0.000000
0.050000,5.529510,0.506950,0.029531,0.262500,1.750000,4.375000,0.000000
0.050000,5.547010,0.506950,0.047031,0.350000,1.750000,-0.000000,0.000000
0.050000,5.568885,0.506950,0.068906,0.437500,1.750000,0.000000,0.000000
0.050000,5.595135,0.506950,0.095156,0.525000,1.750000,-0.000000,0.000000
0.050000,5.625760,0.506950,0.125781,0.612500,1.750000,0.000000,0.000000
0.050000,5.660760,0.506950,0.160781,0.700000,1.750000,0.000000,0.000000
0.050000,5.700135,0.506950,0.200156,0.787500,1.750000,-0.000000,0.000000
0.050000,5.743885,0.506950,0.243906,0.875000,1.750000,-0.000000,0.000000
0.050000,5.792010,0.506950,0.292031,0.962500,1.750000,-0.000000,0.000000
0.050000,5.844510,0.506950,0.344531,1.050000,1.750000,0.000000,0.000000
0.050000,5.901385,0.506950,0.401406,1.137500,1.750000,0.000000,0.000000
0.050000,5.962635,0.506950,0.462656,1.225000,1.750000,0.000000,0.000000
0.050000,6.028260,0.506950,0.528281,1.312500,1.750000,-0.000000,0.000000
0.050000,6.098260,0.506950,0.598281,1.400000,1.750000,0.000000,0.000000
0.050000,6.172635,0.506950,0.672656,1.487500,1.750000,-0.000000,0.000000
0.050000,6.251385,0.506950,0.751406,1.575000,1.750000,0.000000,0.000000
0.050000,6.333963,0.506950,0.833984,1.651562,1.531250,-4.375000,0.000000
0.050000,6.419276,0.506950,0.919297,1.706250,1.093750,-8.750000,0.000000
0.050000,6.506229,0.506950,1.006250,1.739062,0.656250,-8.750000,0.000000
0.050000,6.593729,0.506950,1.093750,1.750000,0.218750,-8.750000,0.000000
0.050000,6.680682,0.506950,1.180703,1.739065,-0.218697,-8.748950,0.000000
0.050000,6.765995,0.506950,1.266016,1.706258,-0.656145,-8.748950,0.000000
0.050000,6.848574,0.506950,1.348595,1.651576,-1.093645,-8.750000,0.000000
0.050000,6.927325,0.506950,1.427346,1.575018,-1.531145,-8.750000,0.000000
0.050000,7.001701,0.506950,1.501722,1.487521,-1.749948,-4.376050,0.000000
0.050000,7.071702,0.506950,1.571723,1.400021,-1.750000,-0.001050,0.000000
0.050000,7.137328,0.506950,1.637349,1.312521,-1.750000,0.000000,0.000000
0.050000,7.198579,0.506950,1.698600,1.225021,-1.750000,0.000000,0.000000
0.050000,7.255455,0.506950,1.755476,1.137521,-1.750000,0.000000,0.000000
0.050000,7.307956,0.506950,1.807977,1.050021,-1.750000,0.000000,0.000000
0.050000,7.356082,0.506950,1.856103,0.962521,-1.750000,-0.000000,0.000000
0.050000,7.399833,0.506950,1.899854,0.875021,-1.750000,0.000000,0.000000
0.050000,7.439209,0.506950,1.939230,0.787521,-1.750000,-0.000000,0.000000
0.050000,7.474210,0.506950,1.974231,0.700021,-1.750000,0.000000,0.000000
0.050000,7.504836,0.506950,2.004857,0.612521,-1.750000,0.000000,0.000000
0.050000,7.531087,0.506950,2.031108,0.525021,-1.750000,-0.000000,0.000000
0.050000,7.552964,0.506950,2.052985,0.437521,-1.750000,0.000000,0.000000
0.050000,7.570465,0.506950,2.070486,0.350021,-1.750000,0.000000,0.000000
0.050000,7.583591,0.506950,2.083612,0.262521,-1.750000,-0.000000,0.000000
0.050000,7.592342,0.506950,2.092363,0.175021,-1.750000,0.000000,0.000000
0.050000,7.597264,0.506950,2.097285,0.098456,-1.531302,4.373950,0.000000
0.050000,7.599453,0.506950,2.099474,0.043763,-1.093855,8.748950,0.000000
0.050000,7.600000,0.506950,2.100021,0.010945,-0.656355,8.750000,0.000000
0.050000,7.600000,0.506950,2.100021,0.000003,-0.218855,8.750000,0.000000
0.050000,7.600000,0.506950,2.100021,0.000000,-0.000052,4.376050,0.000000
